// game list translation template for FB Alpha version 0x029737

// codepage=936


8ballact	抢8撞球(大金刚转换版)
baraduke	爆突
gg_barbie	超级名模芭比(工程版)
md_barbiesm	超级名模芭比(美版)
md_barbvac	芭比假日冒险(美版,工程版)
md_bk2p	怒之铁拳II(日版,工程版)
md_bk3	怒之铁拳III(日版)
md_bk3p	怒之铁拳III(日版,工程版)
pce_baribari	爆走传说
md_barkley	巴克利上篮(欧版,美版)
md_barkley2	巴克利上篮2(美版)
md_barkley2p	巴克利上篮2(美版,工程版)
md_barney	巴尼寻宝(美版)
pce_barunba	宝伦大作战
md_barver	太空战士(中文版)
bstars2	棒球之星2
bstarsh	棒球之星专业版(NGH-002)
bstars	棒球之星专业版(NGM-002)
sg1k_basic2	BASIC等级2(日版)
sg1k_basic3e	BASIC等级III(出口版)
sg1k_basic3	BASIC等级III(日版)
sms_basketn	篮球恶梦(欧版,巴西版)
md_bassmc	鲈鱼大师经典版(美版)
md_bassmpro	鲈鱼大师经典版-专业版(美版)
pce_batman	蝙蝠侠
md_batman	蝙蝠侠(欧版)
md_batmanj	蝙蝠侠(日版)
md_batmanu	蝙蝠侠(美版)
md_batmanrj	蝙蝠侠-小丑的复仇(美版)
gg_batmanf	永远的蝙蝠侠(世界版)
md_batmanf	永远的蝙蝠侠(世界版)
batman2	蝙蝠车2
sms_batmanrn	蝙蝠侠归来(欧版,巴西版)
gg_batmanrn	蝙蝠侠归来(世界版)
md_batmanrn	蝙蝠侠归来(世界版)
batsugun	疯狂枪支(第1套)
batsuguna	疯狂枪支(第2套)
batsugunsp	疯狂枪支(特别版)
gg_batterup	击球手就位(欧版,美版)
battlntsj	反战英雄(日版,程序代码E)
battlntsa	反战英雄(程序代码F)
battlnts	反战英雄(程序代码G)
sgx_battlace	王牌战机
bbakraidja	战斗翔鹰(日版)(WedApr71999)
bbakraidc	战斗翔鹰-无限制版本(中国版)(TueJun81999)
bbakraidj	战斗翔鹰-无限制版本(日版)(TueJun81999)
bbakraid	战斗翔鹰-无限制版本(美版)(TueJun81999)
bchopper	战刀直升机
batcira	战斗回路(970319亚洲版)
batcird	战斗回路(970319欧版凤凰版)
batcir	战斗回路(970319欧版)
batcirj	战斗回路(970319日版)
bcruzm12	战列巡洋舰M-12
flipshot	盾牌大战
bgareggahk	空战之路(奥地利版/香港版)(SatFeb31996)
bgaregga	空战之路(欧版/美版/日版/亚洲版)(SatFeb31996)
bgareggatw	空战之路(台湾版/德国版)(ThuFeb11996)
bgaregganv	空战之路-新版本(奥地利版/香港版)(SatMar21996)
bgareggacn	空战之路-类型2(丹麦版/中国版)(TueApr21996)
bgareggat2	空战之路-类型2(欧版/美版/日版/亚洲版)(SatMar21996)
bgareggaz	空战之路扎克版(欧版/美版/日版/亚洲版)(SatFeb31996)
md_battlyui	战斗高尔夫(日版)
btlkroad	武道之战
btlkroadk	武道之战(韩国机板)
pce_batloder	战斗淘金者
md_btlmania	战斗玛利亚(日版)
md_btlmanid	战斗玛利亚-大吟釀(日版,韩版)
atlantisb	亚特兰蒂斯大作战(盗版)
atlantis	亚特兰蒂斯大作战(第1套)
atlantis2	亚特兰蒂斯大作战(第2套)
sms_battleor	户外大飙车战斗版(欧版,巴西版)
tg_batlroyl	大逃杀
bsharkj	猎鲨行动(日版)
bsharkjjs	猎鲨行动(日版,操纵杆)
bsharku	猎鲨行动(美版)
bshark	猎鲨行动(世界版)
md_battlesq	武装中队(欧版,美版)
sms_bmaniacs	忍者蛙(巴西版)
md_battlems	战神(美版)
gg_bship	战舰(欧版,美版)
md_btech	机甲争霸(美版)
md_btoadsdd	忍者蛙与双截龙-终极队(美版)
gg_btoads	忍者蛙(欧版,日版)
gg_btoadsu	忍者蛙(美版)
md_btoads	忍者蛙(世界版)
bayroute1	海湾战争(第1套,美版,未保护版)
bayroutejd	海湾战争(第2套,日版,FD1094317-0115解密版)
bayroutej	海湾战争(第2套,日版,FD1094317-0115)
bayrouted	海湾战争(第3套,世界版,FD1094317-0116解密版)
bayroute	海湾战争(第3套,世界版,FD1094317-0116)
cv_bcquest	BC轮胎争夺战
cv_bcquest2	BC轮胎争夺战II-格洛格的复仇
cv_bcquest2ca	BC轮胎争夺战II-格洛格的复仇(加拿大版)
pce_beball	太极球
cv_beamridr	激光骑士
md_beastwj	野兽武士(日版)
md_beastw	怪兽摔角(美版)
md_beastbal	野兽橄榄球(工程版)
